Time;mean waiting time;total number of callers actually waiting
161;1.6823529411764706;0
162;1.697674418604651;1
163;1.6781609195402298;1
164;1.6781609195402298;2
165;1.6781609195402298;0
166;1.6818181818181819;0
167;1.6818181818181819;0
168;1.6777777777777778;0
169;1.6777777777777778;1
170;1.6777777777777778;1
171;1.6777777777777778;0
172;1.6777777777777778;1
173;1.6777777777777778;1
174;1.6777777777777778;1
175;1.6777777777777778;0
176;1.6777777777777778;0
177;1.6777777777777778;1
178;1.6777777777777778;0
179;1.6593406593406594;1
180;1.6593406593406594;1
181;1.6630434782608696;1
182;1.6630434782608696;0
183;1.648936170212766;0
184;1.648936170212766;1
185;1.648936170212766;0
186;1.648936170212766;2
187;1.648936170212766;0
188;1.631578947368421;0
189;1.625;1
190;1.625;1
191;1.625;1
192;1.6020408163265305;1
193;1.595959595959596;1
194;1.595959595959596;0
195;1.6;0
196;1.5940594059405941;0
197;1.5940594059405941;0
198;1.5940594059405941;0
199;1.5940594059405941;0
200;1.5940594059405941;0
201;1.5940594059405941;1
202;1.5940594059405941;0
203;1.5784313725490196;1
204;1.5784313725490196;1
205;1.5728155339805825;1
206;1.5961538461538463;0
207;1.5809523809523809;1
208;1.5794392523364487;1
209;1.5794392523364487;1
210;1.5596330275229358;1
211;1.5596330275229358;1
212;1.5596330275229358;2
213;1.5596330275229358;0
214;1.5545454545454545;0
215;1.5545454545454545;1
216;1.5545454545454545;1
217;1.5545454545454545;1
218;1.5398230088495575;0
219;1.5398230088495575;1
220;1.5614035087719298;0
221;1.5614035087719298;0
222;1.5614035087719298;1
223;1.5478260869565217;0
224;1.5478260869565217;0
225;1.5478260869565217;1
226;1.5478260869565217;1
227;1.5478260869565217;1
228;1.5344827586206897;1
229;1.5344827586206897;2
230;1.5344827586206897;2
231;1.5213675213675213;2
232;1.5254237288135593;1
233;1.5254237288135593;0
234;1.5254237288135593;1
235;1.5254237288135593;1
236;1.5126050420168067;1
237;1.5126050420168067;2
238;1.5;1
239;1.4958677685950412;2
240;1.4958677685950412;2
241;1.4958677685950412;1
242;1.4959349593495934;2
243;1.4919354838709677;2
244;1.4919354838709677;1
245;1.48;2
246;1.4645669291338583;2
247;1.4645669291338583;2
248;1.4645669291338583;3
249;1.4645669291338583;2
250;1.4645669291338583;2
251;1.46875;1
252;1.46875;3
253;1.46875;1
254;1.4651162790697674;2
255;1.4651162790697674;2
256;1.4651162790697674;1
257;1.4692307692307693;1
258;1.4885496183206106;0
259;1.4885496183206106;1
260;1.4885496183206106;1
261;1.481203007518797;2
262;1.4776119402985075;1
263;1.4776119402985075;0
264;1.4666666666666666;1
265;1.4666666666666666;0
266;1.4666666666666666;2
267;1.4666666666666666;0
268;1.4705882352941178;2
269;1.4598540145985401;1
270;1.4598540145985401;1
271;1.4598540145985401;1
272;1.4532374100719425;2
273;1.4532374100719425;2
274;1.4428571428571428;3
275;1.4428571428571428;2
276;1.4428571428571428;3
277;1.4295774647887325;2
278;1.4295774647887325;1
279;1.4295774647887325;3
280;1.4545454545454546;3
281;1.4444444444444444;3
282;1.4383561643835616;3
283;1.4189189189189189;3
284;1.5503355704697988;3
285;1.5503355704697988;1
286;1.54;2
287;1.5430463576158941;1
288;1.5430463576158941;2
289;1.5460526315789473;3
290;1.5460526315789473;2
291;1.5460526315789473;2
292;1.5555555555555556;2
293;1.5555555555555556;3
294;1.5584415584415585;1
295;1.5584415584415585;2
296;1.5584415584415585;2
297;1.5584415584415585;2
298;1.5612903225806452;2
299;1.5612903225806452;2
300;1.5541401273885351;2
301;1.5443037974683544;3
302;1.5408805031446542;3
303;1.5408805031446542;3
304;1.5375;2
305;1.5375;2
306;1.5375;1
307;1.565217391304348;1
308;1.565217391304348;1
309;1.565217391304348;2
310;1.5555555555555556;2
311;1.5521472392638036;1
312;1.5521472392638036;2
313;1.5548780487804879;1
314;1.587878787878788;1
315;1.587878787878788;1
316;1.587878787878788;1
317;1.5748502994011977;0
318;1.5654761904761905;1
319;1.5654761904761905;0
320;1.650887573964497;0
321;1.650887573964497;0
322;1.6529411764705881;0
323;1.6432748538011697;0
324;1.6395348837209303;1
325;1.6395348837209303;1
326;1.6379310344827587;1
327;1.6379310344827587;1
328;1.6379310344827587;1
329;1.6379310344827587;1
330;1.6285714285714286;0
331;1.625;0
332;1.625;1
333;1.615819209039548;0
334;1.702247191011236;0
335;1.6927374301675977;0
336;1.6927374301675977;1
337;1.6795580110497237;1
338;1.6795580110497237;1
339;1.6795580110497237;0
340;1.6795580110497237;0
341;1.6795580110497237;1
342;1.6703296703296704;1
343;1.6666666666666667;0
344;1.6666666666666667;1
345;1.6666666666666667;1
346;1.7717391304347827;1
347;1.7621621621621621;0
348;1.7621621621621621;1
349;1.7621621621621621;0
350;1.7580645161290323;0
351;1.7580645161290323;1
352;1.7580645161290323;0
353;1.7580645161290323;1
354;1.7486631016042782;0
355;1.7486631016042782;1
356;1.7354497354497354;0
357;1.7263157894736842;1
358;1.7263157894736842;1
359;1.7263157894736842;1
360;1.7172774869109948;1
361;1.7172774869109948;1
362;1.690721649484536;1
363;1.682051282051282;2
364;1.682051282051282;0
365;1.682051282051282;2
366;1.682051282051282;2
367;1.6734693877551021;2
368;1.6734693877551021;0
369;1.6616161616161615;2
370;1.6616161616161615;1
371;1.6616161616161615;0
372;1.6616161616161615;0
373;1.6616161616161615;1
374;1.6616161616161615;1
375;1.6582914572864322;1
376;1.65;1
377;1.6467661691542288;2
378;1.6467661691542288;2
379;1.6354679802955665;0
380;1.6354679802955665;1
381;1.6354679802955665;1
382;1.6354679802955665;1
383;1.6354679802955665;0
384;1.6372549019607843;2
385;1.6372549019607843;0
386;1.6372549019607843;1
387;1.6262135922330097;2
388;1.6262135922330097;2
389;1.6262135922330097;2
390;1.6262135922330097;2
391;1.6262135922330097;1
392;1.6262135922330097;2
393;1.6346153846153846;3
394;1.6267942583732058;3
395;1.6267942583732058;3
396;1.6267942583732058;2
397;1.6267942583732058;3
398;1.6267942583732058;4
399;1.6303317535545023;3
400;1.6303317535545023;3
401;1.6226415094339623;2
402;1.6226415094339623;4
403;1.6355140186915889;3
404;1.6355140186915889;2
405;1.6355140186915889;3
406;1.6355140186915889;2
407;1.6355140186915889;3
408;1.627906976744186;3
409;1.6296296296296295;3
410;1.6296296296296295;4
411;1.6296296296296295;3
412;1.6296296296296295;4
413;1.6330275229357798;4
414;1.6318181818181818;5
415;1.6334841628959276;4
416;1.6334841628959276;3
417;1.6261261261261262;4
418;1.6261261261261262;4
419;1.6261261261261262;4
420;1.6261261261261262;4
421;1.6278026905829597;4
422;1.6278026905829597;3
423;1.6278026905829597;4
424;1.6177777777777778;2
425;1.6255506607929515;3
426;1.618421052631579;2
427;1.6157205240174672;3
428;1.6217391304347826;2
429;1.632034632034632;3
430;1.6293103448275863;2
431;1.6293103448275863;2
432;1.6293103448275863;3
433;1.6223175965665235;2
434;1.6324786324786325;2
435;1.6324786324786325;3
436;1.6324786324786325;2
437;1.6324786324786325;2
438;1.6324786324786325;2
439;1.6271186440677967;2
440;1.6271186440677967;3
441;1.620253164556962;3
442;1.620253164556962;2
443;1.620253164556962;3
444;1.620253164556962;2
445;1.6276150627615062;3
446;1.6208333333333333;3
447;1.6208333333333333;4
448;1.6141078838174274;1
449;1.6074380165289257;1
450;1.6074380165289257;0
451;1.6074380165289257;2
452;1.5942622950819672;1
453;1.7346938775510203;2
454;1.7317073170731707;2
455;1.7317073170731707;2
456;1.7317073170731707;3
457;1.8582995951417005;3
458;1.8508064516129032;3
459;1.8433734939759037;3
460;1.8433734939759037;3
461;1.8433734939759037;2
462;1.8433734939759037;4
463;1.8433734939759037;3
464;1.8433734939759037;2
465;1.8433734939759037;2
466;1.8433734939759037;3
467;1.8433734939759037;4
468;1.836;3
469;1.836;3
470;1.8326693227091633;3
471;1.8326693227091633;3
472;1.8221343873517786;3
473;1.8221343873517786;4
474;1.8221343873517786;4
475;1.8221343873517786;2
476;2.066666666666667;2
477;2.066666666666667;2
478;2.050387596899225;3
479;2.050387596899225;3
480;2.054054054054054;3
481;2.054054054054054;3
482;2.054054054054054;3
483;2.046153846153846;2
484;2.046153846153846;2
485;2.046153846153846;2
486;2.046153846153846;3
487;2.030534351145038;3
488;2.030534351145038;3
489;2.0228136882129277;3
490;2.018939393939394;3
491;2.0037453183520597;4
492;1.9962686567164178;4
493;1.9962686567164178;4
494;1.9962686567164178;2
495;1.9962686567164178;4
496;1.9962686567164178;3
497;1.9962686567164178;4
498;1.9962686567164178;5
499;1.9962686567164178;6
500;1.9962686567164178;7
501;1.9962686567164178;7
502;1.9962686567164178;5
503;1.9962686567164178;7
504;1.9962686567164178;7
505;1.9925650557620818;8
506;1.9851851851851852;8
507;1.981549815498155;8
508;1.974264705882353;7
509;2.0586080586080584;8
510;2.0586080586080584;7
511;2.0586080586080584;8
512;2.1496350364963503;8
513;2.221014492753623;8
514;2.20863309352518;7
515;2.20863309352518;7
516;2.20863309352518;6
517;2.20863309352518;6
518;2.2007168458781363;6
519;2.2;6
520;2.2;5
521;2.2384341637010676;6
522;2.230496453900709;5
523;2.2261484098939928;6
524;2.221830985915493;5
525;2.2491228070175437;4
526;2.2491228070175437;4
527;2.2491228070175437;5
528;2.2491228070175437;2
529;2.2412587412587412;3
530;2.2412587412587412;3
531;2.2412587412587412;4
532;2.2291666666666665;4
533;2.2275862068965515;4
534;2.2275862068965515;5
535;2.223367697594502;4
536;2.223367697594502;5
537;2.223367697594502;5
538;2.223367697594502;5
539;2.223367697594502;4
540;2.223367697594502;6
541;2.223367697594502;5
542;2.361774744027304;7
543;2.3457627118644067;7
544;2.387205387205387;7
545;2.387205387205387;6
546;2.379194630872483;5
547;2.379194630872483;4
548;2.379194630872483;4
549;2.408026755852843;4
550;2.4066666666666667;4
551;2.4066666666666667;4
552;2.398671096345515;5
553;2.486754966887417;4
554;2.486754966887417;5
555;2.597359735973597;5
556;2.6875;4
557;2.681967213114754;5
558;2.673202614379085;3
559;2.673202614379085;2
560;2.673202614379085;3
561;2.673202614379085;2
562;2.673202614379085;3
563;2.6644951140065145;3
564;2.6644951140065145;2
565;2.6644951140065145;3
566;2.6451612903225805;3
567;2.639871382636656;3
568;2.639871382636656;5
569;2.639871382636656;5
570;2.639871382636656;3
571;2.639871382636656;3
572;2.7628205128205128;3
573;2.8274760383386583;4
574;2.8274760383386583;4
575;2.815873015873016;3
576;2.8860759493670884;3
577;2.8860759493670884;4
578;2.8679245283018866;6
579;2.8679245283018866;4
580;2.8589341692789967;4
581;2.85;4
582;2.8411214953271027;5
583;2.8411214953271027;4
584;2.8411214953271027;5
585;2.8411214953271027;6
586;2.8411214953271027;7
587;2.8792569659442724;7
588;2.9877675840978593;8
589;2.9877675840978593;10
590;2.966666666666667;9
591;2.9577039274924473;5
592;2.9487951807228914;8
593;2.9487951807228914;6
594;2.9487951807228914;5
595;2.93993993993994;5
596;2.934131736526946;4
597;2.934131736526946;4
598;2.934131736526946;5
599;2.934131736526946;5
600;2.9313432835820894;6
601;2.9404761904761907;5
602;2.9404761904761907;6
603;2.9404761904761907;7
604;2.9317507418397626;5
605;2.9317507418397626;6
606;2.9317507418397626;5
607;2.923076923076923;6
608;2.911764705882353;7
609;3.005813953488372;7
610;3.005813953488372;6
611;3.005813953488372;7
612;3.005813953488372;3
613;3.005813953488372;3
614;3.005813953488372;3
615;3.005813953488372;4
616;3.005813953488372;4
617;3.005813953488372;5
618;3.005813953488372;4
619;2.9971014492753625;5
620;3;4
621;3.1432664756446993;6
622;3.1432664756446993;5
623;3.1514285714285712;4
624;3.1514285714285712;4
625;3.1538461538461537;3
626;3.1704545454545454;3
627;3.1643059490084986;3
628;3.1643059490084986;3
629;3.1643059490084986;3
630;3.1643059490084986;4
631;3.1643059490084986;3
632;3.1464788732394364;4
633;3.1464788732394364;3
634;3.1464788732394364;5
635;3.148876404494382;4
636;3.148876404494382;6
637;3.148876404494382;5
638;3.148876404494382;4
639;3.148876404494382;5
640;3.145658263305322;6
641;3.136871508379888;6
642;3.3;6
643;3.3;8
644;3.2845303867403315;6
645;3.356164383561644;5
646;3.356164383561644;6
647;3.356164383561644;6
648;3.356164383561644;5
649;3.349726775956284;5
650;3.349726775956284;5
651;3.349726775956284;6
652;3.346049046321526;6
653;3.346049046321526;6
654;3.418918918918919;5
655;3.418918918918919;4
656;3.418918918918919;5
657;3.4123989218328843;4
658;3.4518716577540105;4
659;3.4518716577540105;4
660;3.4518716577540105;4
661;3.4518716577540105;4
662;3.4518716577540105;3
663;3.4441489361702127;5
664;3.425925925925926;4
665;3.425925925925926;5
666;3.425925925925926;5
667;3.425925925925926;3
668;3.4221635883905015;5
669;3.4221635883905015;5
670;3.4221635883905015;5
671;3.4842105263157896;6
672;3.4842105263157896;6
673;3.4842105263157896;8
674;3.4803149606299213;7
675;3.4803149606299213;8
676;3.4803149606299213;7
677;3.4803149606299213;8
678;3.4803149606299213;8
679;3.5654450261780104;8
680;3.5654450261780104;10
681;3.5520833333333335;11
682;3.538860103626943;10
683;3.5309278350515463;10
684;3.5218508997429305;8
685;3.5218508997429305;8
686;3.5218508997429305;5
687;3.59846547314578;6
688;3.59846547314578;5
689;3.5918367346938775;7
690;3.5918367346938775;5
691;3.5877862595419847;6
692;3.5877862595419847;6
693;3.5877862595419847;5
694;3.649746192893401;5
695;3.649746192893401;6
696;3.640506329113924;5
697;3.640506329113924;7
698;3.72544080604534;5
699;3.72544080604534;6
700;3.7185929648241207;6
701;3.7185929648241207;4
702;3.7185929648241207;4
703;3.74;2
704;3.7306733167082293;4
705;3.7306733167082293;3
706;3.7306733167082293;3
707;3.7306733167082293;3
708;3.7146401985111663;2
709;3.7054455445544554;3
710;3.7054455445544554;3
711;3.7054455445544554;2
712;3.696296296296296;4
713;3.7241379310344827;2
714;3.769607843137255;3
715;3.7756097560975608;3
716;3.8418491484184916;3
717;3.8418491484184916;4
718;3.8418491484184916;3
719;3.8762135922330097;1
720;3.8762135922330097;3
721;3.8762135922330097;2
722;3.944309927360775;0
723;3.944309927360775;2
724;3.944309927360775;1
725;3.9444444444444446;3
726;3.9444444444444446;3
727;3.9373493975903613;3
728;3.92326139088729;5
729;3.9138755980861246;4
730;3.9045346062052504;5
731;3.969047619047619;5
732;3.969047619047619;4
733;4.009501187648456;6
734;4.009501187648456;5
735;4.056872037914692;6
736;4.047281323877068;6
737;4.047281323877068;7
738;4.080188679245283;6
739;4.075294117647059;7
740;4.070422535211268;7
741;4.070422535211268;7
742;4.065573770491803;6
743;4.05607476635514;7
744;4.05607476635514;11
745;4.048951048951049;9
746;4.03953488372093;7
747;4.03953488372093;10
748;4.034802784222737;9
749;4.0625;10
750;4.0577367205542725;10
751;4.050691244239632;10
752;4.034403669724771;8
753;4.034403669724771;8
754;4.093821510297483;7
755;4.093821510297483;6
756;4.093821510297483;7
757;4.093821510297483;6
758;4.093821510297483;6
759;4.077448747152619;7
760;4.068181818181818;7
761;4.058956916099773;7
762;4.052036199095022;9
763;4.052036199095022;7
764;4.052036199095022;6
765;4.0608108108108105;5
766;4.051685393258427;5
767;4.051685393258427;5
768;4.056053811659193;5
769;4.056053811659193;5
770;4.031180400890869;5
771;4.031180400890869;4
772;4.0377777777777775;4
773;4.0377777777777775;4
774;4.0377777777777775;4
775;4.033259423503326;2
776;4.033259423503326;3
777;4.033259423503326;2
778;4.033259423503326;3
779;4.030973451327434;4
780;4.030973451327434;3
781;4.048565121412803;5
782;4.044052863436123;5
783;4.035164835164835;4
784;4.144420131291028;4
785;4.1965065502183405;5
786;4.1965065502183405;5
787;4.1965065502183405;4
788;4.187363834422658;4
789;4.187363834422658;5
790;4.178260869565217;5
791;4.2299349240780915;3
792;4.2299349240780915;3
793;4.2299349240780915;4
794;4.2844827586206895;5
795;4.2844827586206895;5
796;4.27741935483871;4
797;4.26824034334764;3
798;4.26824034334764;2
799;4.259100642398287;4
800;4.25;4
801;4.3070362473347545;5
802;4.3070362473347545;6
803;4.360934182590234;7
804;4.360934182590234;6
805;4.360934182590234;8
806;4.3446088794926006;6
807;4.3354430379746836;5
808;4.3354430379746836;7
809;4.3354430379746836;6
810;4.3354430379746836;6
811;4.3354430379746836;5
812;4.3354430379746836;7
813;4.326315789473684;7
814;4.317226890756302;7
815;4.310272536687631;8
816;4.310272536687631;8
817;4.301255230125523;8
818;4.30625;9
819;4.3097713097713095;8
820;4.300829875518672;10
821;4.300829875518672;8
822;4.300829875518672;7
823;4.358178053830228;8
824;4.358178053830228;8
825;4.358178053830228;7
826;4.351239669421488;7
827;4.348453608247422;7
828;4.348453608247422;7
829;4.448559670781893;8
830;4.449691991786447;8
831;4.449691991786447;8
832;4.449691991786447;7
833;4.449691991786447;6
834;4.439672801635992;7
835;4.479591836734694;7
836;4.479591836734694;8
837;4.483739837398374;7
838;4.483739837398374;6
839;4.483739837398374;7
840;4.474645030425964;5
841;4.474645030425964;4
842;4.467611336032388;7
843;4.467611336032388;7
844;4.460606060606061;6
845;4.460606060606061;8
846;4.451612903225806;8
847;4.451612903225806;7
848;4.451612903225806;7
849;4.490945674044266;8
850;4.550200803212851;9
851;4.550200803212851;9
852;4.536;8
853;4.534930139720559;7
854;4.534930139720559;9
855;4.534930139720559;10
856;4.534930139720559;9
857;4.534930139720559;9
858;4.569721115537849;8
859;4.613095238095238;7
860;4.613095238095238;8
861;4.613095238095238;8
862;4.603960396039604;6
863;4.603960396039604;8
864;4.594861660079052;7
865;4.587771203155818;6
866;4.616895874263261;6
867;4.616895874263261;5
868;4.673189823874756;6
869;4.6640625;5
870;4.6640625;7
871;4.711500974658869;6
872;4.750972762645914;5
873;4.750972762645914;4
874;4.750972762645914;5
875;4.741747572815534;5
876;4.74031007751938;6
877;4.74468085106383;6
878;4.74468085106383;5
879;4.795366795366795;6
880;4.786127167630058;5
881;4.786127167630058;6
882;4.825;5
883;4.825;5
884;4.81573896353167;5
885;4.806513409961686;5
886;4.803059273422562;5
887;4.788571428571428;6
888;4.768939393939394;5
889;4.768939393939394;5
890;4.768939393939394;4
891;4.790566037735849;4
892;4.790566037735849;4
893;4.790566037735849;4
894;4.834274952919021;2
895;4.828947368421052;3
896;4.823639774859287;2
897;4.823639774859287;2
898;4.823639774859287;2
899;4.823639774859287;2
900;4.854477611940299;1
901;4.888268156424581;1
902;4.87569573283859;1
903;4.987060998151571;0
904;4.987060998151571;0
905;4.987060998151571;0
906;4.988929889298893;0
907;4.988929889298893;1
908;4.988929889298893;0
909;4.988929889298893;1
910;4.988929889298893;1
911;4.988929889298893;2
912;4.983425414364641;1
913;4.974264705882353;2
914;4.974264705882353;2
915;5.021978021978022;3
916;5.021978021978022;3
917;5.021978021978022;4
918;5.021978021978022;2
919;5.021978021978022;3
920;5.021978021978022;2
921;5.012797074954296;2
922;5.012797074954296;2
923;5.012797074954296;2
924;5.0036496350364965;2
925;5.040072859744991;3
926;5.108892921960073;2
927;5.094032549728753;3
928;5.094032549728753;2
929;5.094032549728753;2
930;5.094032549728753;2
931;5.094032549728753;2
932;5.094032549728753;3
933;5.094032549728753;3
934;5.084837545126354;4
935;5.084837545126354;3
936;5.084837545126354;2
937;5.129729729729729;3
938;5.125899280575539;2
939;5.125899280575539;3
940;5.11669658886894;2
941;5.11669658886894;1
942;5.11669658886894;1
