Time;total number of calls;total number of successful calls;total number of unsuccessful calls
132;69;60;9
133;70;61;9
134;70;61;9
135;70;61;9
136;70;61;9
137;71;62;9
138;73;63;10
139;73;63;10
140;73;63;10
141;74;64;10
142;74;64;10
143;74;64;10
144;75;65;10
145;75;65;10
146;75;65;10
147;76;66;10
148;76;66;10
149;78;68;10
150;78;68;10
151;78;68;10
152;79;69;10
153;82;72;10
154;83;73;10
155;83;73;10
156;83;73;10
157;83;73;10
158;85;74;11
159;85;74;11
160;85;74;11
161;85;74;11
162;86;75;11
163;87;76;11
164;87;76;11
165;87;76;11
166;88;77;11
167;88;77;11
168;90;79;11
169;90;79;11
